,d,d_rock,diff_settle l/s,diff_settle s/l,settlement [mm],station,x-sect_x,x-sect_y,x_station,y_station
9,46.0,21.3,54980.89540055714,1.81881359463976e-05,-4.208804131156302,106+410,2612900.986464889,1268131.5219522214,2612897,1268129
10,46.0,21.3,19124.59880266101,5.2288678592350875e-05,-3.9473607381945475,106+410,2612905.2469297783,1268134.1389044425,2612897,1268129
11,46.0,21.3,12495.313448612802,8.003000517854296e-05,-3.547210712301833,106+410,2612909.5073946672,1268136.755856664,2612897,1268129
12,46.0,21.3,10142.021026233342,9.859967726485686e-05,-3.0542123259775487,106+410,2612913.7678595562,1268139.372808885,2612897,1268129
13,46.0,21.3,9353.782701040012,0.00010690861996278936,-2.5196692261636016,106+410,2612918.0283244457,1268141.9897611064,2612897,1268129
14,46.0,21.3,9469.918482054674,0.00010559752989373478,-1.9916815766949278,106+410,2612922.2887893347,1268144.6067133276,2612897,1268129
15,46.0,21.3,10346.814756358623,9.66481012318744e-05,-1.5084410705355558,106+410,2612926.5492542237,1268147.223665549,2612897,1268129
16,46.0,21.3,12082.920003367899,8.276145167900373e-05,-1.0946338121405372,106+410,2612930.8097191127,1268149.84061777,2612897,1268129
0,46.0,21.3,,,-1.0954936484938755,106+413,2612864.2589970133,1268105.337516766,2612898,1268126
1,46.0,21.3,12081.540318984053,8.277090284826289e-05,-1.50934816273519,106+413,2612868.513622387,1268107.9639521705,2612898,1268126
2,46.0,21.3,10347.397814366575,9.664265527817786e-05,-1.992561439126079,106+413,2612872.7682477604,1268110.5903875746,2612898,1268126
3,46.0,21.3,9471.836591321939,0.00010557614569873348,-2.5204421676197466,106+413,2612877.0228731334,1268113.2168229788,2612898,1268126
4,46.0,21.3,9356.817007061418,0.00010687395075112813,-3.054811921375387,106+413,2612881.277498507,1268115.8432583832,2612898,1268126
5,46.0,21.3,10146.29974682083,9.855809752844459e-05,-3.54760240901761,106+413,2612885.53212388,1268118.4696937874,2612898,1268126
6,46.0,21.3,12501.49865039067,7.999040978728979e-05,-3.947554457954059,106+413,2612889.7867492535,1268121.0961291916,2612898,1268126
7,46.0,21.3,19134.99784343214,5.226026196513203e-05,-4.20885576777972,106+413,2612894.0413746266,1268123.722564596,2612898,1268126
8,46.0,21.3,55012.131594644365,1.8177808621714156e-05,-4.29974481088829,106+413,2612898.296,1268126.3490000002,2612898,1268126
9,46.0,21.3,55012.131594644365,1.8177808621714156e-05,-4.20885576777972,106+413,2612902.5506253736,1268128.9754354043,2612898,1268126
10,46.0,21.3,19134.99784343214,5.226026196513203e-05,-3.947554457954059,106+413,2612906.8052507467,1268131.6018708088,2612898,1268126
11,46.0,21.3,12501.49865039067,7.999040978728979e-05,-3.54760240901761,106+413,2612911.05987612,1268134.228306213,2612898,1268126
12,46.0,21.3,10146.29974682083,9.855809752844459e-05,-3.054811921375387,106+413,2612915.3145014932,1268136.854741617,2612898,1268126
13,46.0,21.3,9356.817007061418,0.00010687395075112813,-2.5204421676197466,106+413,2612919.5691268668,1268139.4811770215,2612898,1268126
14,46.0,21.3,9471.836591321939,0.00010557614569873348,-1.992561439126079,106+413,2612923.82375224,1268142.1076124257,2612898,1268126
15,46.0,21.3,10347.397814366575,9.664265527817786e-05,-1.50934816273519,106+413,2612928.0783776133,1268144.7340478299,2612898,1268126
16,46.0,21.3,12081.540318984053,8.277090284826289e-05,-1.0954936484938755,106+413,2612932.333002987,1268147.3604832343,2612898,1268126
0,45.5,21.3,,,-1.065822714823705,106+416,2612865.8855693494,1268102.7028131464,2612900,1268124
1,45.5,21.3,12132.204918303492,8.242524806775478e-05,-1.477948955162479,106+416,2612870.133873181,1268105.339461503,2612900,1268124
2,45.5,21.3,10329.010339609044,9.681469638628035e-05,-1.9620224370938806,106+416,2612874.382177012,1268107.9761098598,2612900,1268124
3,45.5,21.3,9406.799615228223,0.00010630608080362926,-2.493552841112027,106+416,2612878.6304808436,1268110.6127582164,2612900,1268124
4,45.5,21.3,9253.072160492795,0.00010807221457427201,-3.033913913983387,106+416,2612882.8787846747,1268113.2494065731,2612900,1268124
5,45.5,21.3,9999.668460427987,0.00010000331550564225,-3.5339304915115983,106+416,2612887.1270885062,1268115.8860549298,2612900,1268124
6,45.5,21.3,12289.382725193656,8.137105193656031e-05,-3.9407857511943996,106+416,2612891.3753923373,1268118.5227032865,2612900,1268124
7,45.5,21.3,18778.308203169618,5.3252933607256944e-05,-4.207050419230685,106+416,2612895.623696169,1268121.1593516432,2612900,1268124
8,45.5,21.3,53940.695985891354,1.8538878331520943e-05,-4.299744810888289,106+416,2612899.872,1268123.7959999999,2612900,1268124
9,45.5,21.3,53940.695985891354,1.8538878331520943e-05,-4.207050419230685,106+416,2612904.120303831,1268126.4326483565,2612900,1268124
10,45.5,21.3,18778.308203169618,5.3252933607256944e-05,-3.9407857511943996,106+416,2612908.3686076626,1268129.0692967132,2612900,1268124
11,45.5,21.3,12289.382725193656,8.137105193656031e-05,-3.5339304915115983,106+416,2612912.6169114937,1268131.70594507,2612900,1268124
12,45.5,21.3,9999.668460427987,0.00010000331550564225,-3.033913913983387,106+416,2612916.8652153253,1268134.3425934266,2612900,1268124
13,45.5,21.3,9253.072160492795,0.00010807221457427201,-2.493552841112027,106+416,2612921.1135191564,1268136.9792417833,2612900,1268124
14,45.5,21.3,9406.799615228223,0.00010630608080362926,-1.9620224370938806,106+416,2612925.361822988,1268139.61589014,2612900,1268124
15,45.5,21.3,10329.010339609044,9.681469638628035e-05,-1.477948955162479,106+416,2612929.610126819,1268142.2525384966,2612900,1268124
16,45.5,21.3,12132.204918303492,8.242524806775478e-05,-1.065822714823705,106+416,2612933.8584306506,1268144.8891868533,2612900,1268124
0,46.3,21.4,,,-1.110787443811851,106+419,2612867.5086251176,1268100.0878052118,2612901,1268121
1,46.3,21.4,12057.858808009547,8.293346405215331e-05,-1.5254547640726175,106+419,2612871.7517969776,1268102.7327045603,2612901,1268121
2,46.3,21.4,10358.260840225628,9.65413031612957e-05,-2.008161279879096,106+419,2612875.994968838,1268105.3776039088,2612901,1268121
3,46.3,21.4,9506.285823012919,0.00010519355494016279,-2.53412905457991,106+419,2612880.2381406985,1268108.0225032573,2612901,1268121
4,46.3,21.4,9411.068784575276,0.00010625785688008126,-3.0654183389803165,106+419,2612884.4813125585,1268110.667402606,2612901,1268121
5,46.3,21.4,10222.704557714347,9.782147125100776e-05,-3.554525695235355,106+419,2612888.724484419,1268113.3123019545,2612901,1268121
6,46.3,21.4,12611.904693461302,7.929016467421091e-05,-3.9509765186064096,106+419,2612892.9676562794,1268115.957201303,2612901,1268121
7,46.3,21.4,19320.602806230232,5.175821945252838e-05,-4.209767615869052,106+419,2612897.2108281394,1268118.6021006515,2612901,1268121
8,46.3,21.4,55569.636272067946,1.7995439003847675e-05,-4.29974481088829,106+419,2612901.454,1268121.247,2612901,1268121
9,46.3,21.4,55569.636272067946,1.7995439003847675e-05,-4.209767615869052,106+419,2612905.6971718604,1268123.8918993485,2612901,1268121
10,46.3,21.4,19320.602806230232,5.175821945252838e-05,-3.9509765186064096,106+419,2612909.9403437204,1268126.536798697,2612901,1268121
11,46.3,21.4,12611.904693461302,7.929016467421091e-05,-3.554525695235355,106+419,2612914.183515581,1268129.1816980455,2612901,1268121
12,46.3,21.4,10222.704557714347,9.782147125100776e-05,-3.0654183389803165,106+419,2612918.4266874413,1268131.826597394,2612901,1268121
13,46.3,21.4,9411.068784575276,0.00010625785688008126,-2.53412905457991,106+419,2612922.6698593013,1268134.4714967427,2612901,1268121
14,46.3,21.4,9506.285823012919,0.00010519355494016279,-2.008161279879096,106+419,2612926.9130311618,1268137.1163960912,2612901,1268121
15,46.3,21.4,10358.260840225628,9.65413031612957e-05,-1.5254547640726175,106+419,2612931.156203022,1268139.7612954397,2612901,1268121
16,46.3,21.4,12057.858808009547,8.293346405215331e-05,-1.110787443811851,106+419,2612935.399374882,1268142.4061947882,2612901,1268121
0,46.0,21.3,,,-1.0942898593502965,106+422,2612869.1465613153,1268097.4603073022,2612903,1268119
1,46.0,21.3,12083.473360066475,8.275766165917204e-05,-1.5080781676461568,106+422,2612873.3833661512,1268100.1153938894,2612903,1268119
2,46.0,21.3,10346.58235078915,9.665027214747183e-05,-1.9913295283835157,106+422,2612877.6201709867,1268102.7704804766,2612903,1268119
3,46.0,21.3,9469.15175471774,0.00010560608023857873,-2.5193599295764093,106+422,2612881.8569758222,1268105.4255670637,2612903,1268119
4,46.0,21.3,9352.569383273974,0.00010692248932024908,-3.0539723761776547,106+422,2612886.0937806577,1268108.080653651,2612903,1268119
5,46.0,21.3,10140.3099460319,9.86163150162209e-05,-3.5470539512587593,106+422,2612890.3305854932,1268110.7357402383,2612903,1268119
6,46.0,21.3,12492.839885873673,8.004585099427664e-05,-3.9472832062301424,106+422,2612894.5673903287,1268113.3908268255,2612903,1268119
7,46.0,21.3,19120.440026506094,5.2300051599949056e-05,-4.208783464229888,106+422,2612898.8041951642,1268116.0459134127,2612903,1268119
8,46.0,21.3,54968.40343379189,1.8192269331680257e-05,-4.299744810888289,106+422,2612903.0409999997,1268118.701,2612903,1268119
9,46.0,21.3,54968.40343379189,1.8192269331680257e-05,-4.208783464229888,106+422,2612907.2778048352,1268121.356086587,2612903,1268119
10,46.0,21.3,19120.440026506094,5.2300051599949056e-05,-3.9472832062301424,106+422,2612911.5146096707,1268124.0111731743,2612903,1268119
11,46.0,21.3,12492.839885873673,8.004585099427664e-05,-3.5470539512587593,106+422,2612915.751414506,1268126.6662597614,2612903,1268119
12,46.0,21.3,10140.3099460319,9.86163150162209e-05,-3.0539723761776547,106+422,2612919.9882193417,1268129.3213463489,2612903,1268119
13,46.0,21.3,9352.569383273974,0.00010692248932024908,-2.5193599295764093,106+422,2612924.225024177,1268131.976432936,2612903,1268119
14,46.0,21.3,9469.15175471774,0.00010560608023857873,-1.9913295283835157,106+422,2612928.4618290127,1268134.6315195232,2612903,1268119
15,46.0,21.3,10346.58235078915,9.665027214747183e-05,-1.5080781676461568,106+422,2612932.698633848,1268137.2866061104,2612903,1268119
16,46.0,21.3,12083.473360066475,8.275766165917204e-05,-1.0942898593502965,106+422,2612936.935438684,1268139.9416926976,2612903,1268119
0,46.0,21.3,,,-1.0951497217880621,106+425,2612870.7869127584,1268094.8429336355,2612905,1268116
1,46.0,21.3,12082.091557540632,8.276712647288983e-05,-1.5089853541525113,106+425,2612875.0177986636,1268097.507441931,2612905,1268116
2,46.0,21.3,10347.164240899885,9.66448368575457e-05,-1.9922095384402398,106+425,2612879.248684569,1268100.1719502266,2612905,1268116
3,46.0,21.3,9471.069126377002,0.0001055847008037342,-2.520133042458911,106+425,2612883.479570474,1268102.8364585221,2612905,1268116
4,46.0,21.3,9355.603111259956,0.00010688781771818088,-3.0545721310498153,106+425,2612887.710456379,1268105.5009668176,2612905,1268116
